  i   j inwind            r        theta           v_x          v_y           v_z          rho          t_e          t_r
  1  12      0 2.214167e+13 8.571429e+00  1.410331e+09 0.000000e+00  7.089132e+09 5.419470e-14 7.688026e+04 2.683386e+05
  1  13      0 2.214167e+13 9.285714e+00  1.563697e+09 0.000000e+00  7.433948e+09 5.310736e-14 7.683754e+04 2.681729e+05
  1  14      0 2.214167e+13 1.000000e+01  1.669392e+09 0.000000e+00  7.795589e+09 5.198261e-14 7.676814e+04 2.679038e+05
  1  15      0 2.214167e+13 1.071429e+01  1.754003e+09 0.000000e+00  8.167060e+09 5.089431e-14 7.670668e+04 2.676655e+05
  1  16      0 2.214167e+13 1.142857e+01  1.853434e+09 0.000000e+00  8.534765e+09 4.991018e-14 7.669696e+04 2.676278e+05
  1  17      0 2.214167e+13 1.214286e+01  1.979994e+09 0.000000e+00  8.892990e+09 4.903237e-14 7.672475e+04 2.677356e+05
  1  18      0 2.214167e+13 1.285714e+01  2.125496e+09 0.000000e+00  9.245045e+09 4.836363e-14 7.674601e+04 2.678180e+05
  1  19      0 2.214167e+13 1.357143e+01  2.289519e+09 0.000000e+00  9.591135e+09 4.794802e-14 7.674192e+04 2.678022e+05
  1  20      0 2.214167e+13 1.428571e+01  2.472669e+09 0.000000e+00  9.929650e+09 4.768934e-14 7.676183e+04 2.678794e+05
  1  21      0 2.214167e+13 1.500000e+01  2.671643e+09 0.000000e+00  1.026300e+10 4.766853e-14 7.677571e+04 2.679332e+05
  1  22      0 2.214167e+13 1.571429e+01  2.882239e+09 0.000000e+00  1.059274e+10 4.795578e-14 7.672919e+04 2.677528e+05
  1  23      0 2.214167e+13 1.642857e+01  3.104108e+09 0.000000e+00  1.091928e+10 4.857942e-14 7.662288e+04 2.673406e+05
  1  24      0 2.214167e+13 1.714286e+01  3.335079e+09 0.000000e+00  1.123388e+10 4.963215e-14 7.652487e+04 2.669607e+05
  1  25      0 2.214167e+13 1.785714e+01  3.575489e+09 0.000000e+00  1.154018e+10 5.113786e-14 7.645670e+04 2.666965e+05
  1  26      0 2.214167e+13 1.857143e+01  3.825481e+09 0.000000e+00  1.183760e+10 5.307312e-14 7.640191e+04 2.664841e+05
  1  27      0 2.214167e+13 1.928571e+01  4.082550e+09 0.000000e+00  1.211673e+10 5.556879e-14 7.638529e+04 2.664197e+05
  1  28      0 2.214167e+13 2.000000e+01  4.344355e+09 0.000000e+00  1.236939e+10 5.873578e-14 7.643477e+04 2.666115e+05
  1  29      0 2.214167e+13 2.071429e+01  4.608704e+09 0.000000e+00  1.259573e+10 6.281436e-14 7.650317e+04 2.668766e+05
  1  30      0 2.214167e+13 2.142857e+01  4.871477e+09 0.000000e+00  1.279766e+10 6.810218e-14 7.652052e+04 2.669438e+05
  1  31      0 2.214167e+13 2.214286e+01  5.135334e+09 0.000000e+00  1.297828e+10 7.463415e-14 7.649605e+04 2.668490e+05
