        r    i inwind converge       v_x       v_y       v_z   dv_x_dx   dv_y_dx   dv_z_dx   dv_x_dy   dv_y_dy   dv_z_dy   dv_x_dz   dv_y_dz   dv_z_dz     div_v  dvds_max     gamma    dfudge 
6.861e+13   61      0        0  2.15e+09  0.00e+00  0.00e+00  1.54e-05 -5.72e-13 -1.60e-05  0.00e+00  3.14e-05  0.00e+00 -1.60e-05 -5.72e-13  1.54e-05  6.15e-05  3.14e-05  1.00e+00  1.00e+05 
7.203e+13   62      0        0  2.15e+09  0.00e+00  0.00e+00  1.56e-05 -5.46e-13 -1.43e-05  0.00e+00  2.99e-05  0.00e+00 -1.43e-05 -5.46e-13  1.56e-05  6.09e-05  2.99e-05  1.00e+00  1.00e+05 
7.561e+13   63      0        0  2.16e+09  0.00e+00  0.00e+00  1.55e-05 -5.26e-13 -1.32e-05  0.00e+00  2.86e-05  0.00e+00 -1.32e-05 -5.26e-13  1.55e-05  5.81e-05  2.86e-05  1.00e+00  1.00e+05 
7.937e+13   64      0        0  2.17e+09  0.00e+00  0.00e+00  1.51e-05 -5.07e-13 -1.23e-05  0.00e+00  2.74e-05  0.00e+00 -1.23e-05 -5.07e-13  1.51e-05  5.69e-05  2.74e-05  1.00e+00  1.00e+05 
8.332e+13   65      0        0  2.18e+09  0.00e+00  0.00e+00  1.49e-05 -4.92e-13 -1.13e-05  0.00e+00  2.62e-05  0.00e+00 -1.13e-05 -4.92e-13  1.49e-05  5.51e-05  2.62e-05  1.00e+00  1.00e+05 
8.746e+13   66      0        0  2.19e+09  0.00e+00  0.00e+00  1.44e-05 -4.79e-13 -1.07e-05  0.00e+00  2.52e-05  0.00e+00 -1.07e-05 -4.79e-13  1.44e-05  5.30e-05  2.52e-05  1.00e+00  1.00e+05 
9.181e+13   67      0        0  2.21e+09  0.00e+00  0.00e+00  1.36e-05 -4.66e-13 -1.06e-05  0.00e+00  2.41e-05  0.00e+00 -1.06e-05 -4.66e-13  1.36e-05  4.96e-05  2.41e-05  1.00e+00  1.00e+05 
9.638e+13   68      0        0  2.22e+09  0.00e+00  0.00e+00  1.32e-05 -4.51e-13 -9.89e-06  0.00e+00  2.31e-05  0.00e+00 -9.89e-06 -4.51e-13  1.32e-05  4.96e-05  2.31e-05  1.00e+00  1.00e+05 
1.012e+14   69      0        0  2.24e+09  0.00e+00  0.00e+00  1.30e-05 -4.41e-13 -9.20e-06  0.00e+00  2.22e-05  0.00e+00 -9.20e-06 -4.41e-13  1.30e-05  4.69e-05  2.22e-05  1.00e+00  1.00e+05 
1.062e+14   70      0        0  2.26e+09  0.00e+00  0.00e+00  1.18e-05 -4.30e-13 -9.57e-06  0.00e+00  2.13e-05  0.00e+00 -9.57e-06 -4.30e-13  1.18e-05  4.27e-05  2.13e-05  1.00e+00  1.00e+05 
1.115e+14   71      0        0  2.26e+09  0.00e+00  0.00e+00  1.15e-05 -4.13e-13 -8.88e-06  0.00e+00  2.04e-05  0.00e+00 -8.88e-06 -4.13e-13  1.15e-05  4.41e-05  2.04e-05  1.00e+00  1.00e+05 
1.170e+14   72      0        0  2.29e+09  0.00e+00  0.00e+00  1.13e-05 -4.05e-13 -8.31e-06  0.00e+00  1.96e-05  0.00e+00 -8.31e-06 -4.05e-13  1.13e-05  4.01e-05  1.96e-05  1.00e+00  1.00e+05 
1.229e+14   73      0        0  2.30e+09  0.00e+00  0.00e+00  1.00e-05 -3.91e-13 -8.73e-06  0.00e+00  1.88e-05  0.00e+00 -8.73e-06 -3.91e-13  1.00e-05  3.75e-05  1.88e-05  1.00e+00  1.00e+05 
