      r      theta      rho   t_gas   t_rad          v_r      v_theta
1.55003   0.722287 -10.3413 8.24139 6.17305     -0.54783   -0.0235363
1.55003   0.834803 -10.3619 8.24104 6.16727    -0.510589   -0.0193228
1.55003   0.933428 -10.3492 8.25725 6.17088    -0.480978   -0.0152405
1.55003    1.01959 -10.3051  8.1986 6.17745    -0.458558   -0.0109972
1.55003    1.09463 -10.2355 8.09537 6.18523    -0.442449  -0.00769759
1.55003    1.15976 -10.1383 7.96346 6.19343    -0.431673  -0.00432117
1.55003    1.21613   -10.02 7.81399 6.20348    -0.424403  -0.00153325
1.55003    1.26476 -9.88234   7.638 6.21422    -0.419093   0.00106903
1.55003     1.3066 -9.73495  7.4693 6.22685     -0.41565   0.00319638
1.55003    1.34253 -9.60124 7.29277 6.24126    -0.412462   0.00513526
1.55003    1.37333 -9.48036 7.15681 6.25781    -0.409032    0.0066866
1.55003    1.39971 -9.36664  7.0502 6.27616    -0.405704   0.00794184
1.55003     1.4223 -9.25915 6.94607 6.29514     -0.40235   0.00888749
1.55003    1.44167 -9.15232 6.86299 6.31556    -0.398729   0.00958857
1.55003    1.45833 -9.05671 6.81084 6.33543    -0.394773    0.0100307
1.55003    1.47273 -8.97199 6.76736 6.35535    -0.391138    0.0101941
1.55003    1.48526 -8.89814 6.73736 6.37494    -0.386475    0.0101747
1.55003    1.49625 -8.83751 6.71321 6.39312    -0.382032    0.0100618
1.55003      1.506 -8.78251 6.68608 6.41092    -0.377562   0.00993345
1.55003    1.51475 -8.72948 6.66943 6.42819    -0.373476   0.00967116
1.55003    1.52272 -8.68217 6.65568 6.44462    -0.369641   0.00938485
1.55003    1.53008 -8.63654 6.64887 6.46026    -0.366282   0.00906638
1.55003    1.53698 -8.58388 6.64336 6.47591    -0.363327    0.0086519
1.55003    1.54352 -8.52855 6.64278 6.49151    -0.360612   0.00805091
1.55003    1.54981 -8.46619 6.63966 6.50619    -0.357877   0.00722879
1.55003    1.55592 -8.40081 6.64514 6.52093     -0.35527   0.00629035
1.55003    1.56192 -8.34382 6.64746 6.53336    -0.352891   0.00483255
1.55003    1.56784 -8.31207 6.65073 6.54162    -0.351037   0.00347001
1.55003    1.57375 -8.31048 6.65138 6.54388    -0.349651   0.00152207
1.55003    1.57968 -8.33302 6.64869 6.53953     -0.34883 -4.26658e-05
1.55003    1.58567 -8.36761 6.64116 6.53201    -0.348863  -0.00131535
1.55003    1.59178 -8.40525 6.63669 6.52205    -0.349539  -0.00251782
1.55003    1.59807 -8.45059 6.63321 6.51014    -0.350662  -0.00359159
1.55003    1.60461 -8.50335 6.63279 6.49634    -0.352652  -0.00394022
1.55003    1.61151 -8.56049 6.63954 6.48091    -0.354518  -0.00522367
1.55003    1.61887 -8.62308 6.64944 6.46409    -0.357536  -0.00588234
1.55003    1.62684  -8.6908 6.66478 6.44608    -0.361248  -0.00646359
1.55003    1.63559 -8.75613 6.68029  6.4269    -0.365632  -0.00685517
1.55003    1.64534 -8.82328 6.69867 6.40656     -0.37035   -0.0071562
1.55003    1.65633 -8.89613 6.73941 6.38552    -0.375285   -0.0074367
1.55003    1.66886  -8.9736  6.7808 6.36361    -0.380641  -0.00754201
1.55003    1.68326 -9.06184 6.83249 6.34068    -0.386376  -0.00755212
1.55003    1.69992  -9.1652 6.89272 6.31687    -0.391731  -0.00748383
1.55003     1.7193 -9.29491 7.00239  6.2925    -0.396838  -0.00711128
1.55003    1.74189 -9.44775 7.15716 6.26745    -0.401544  -0.00646617
1.55003    1.76826 -9.62149 7.31336 6.24356    -0.405706  -0.00529708
1.55003    1.79906   -9.799 7.51633 6.22252    -0.409587  -0.00363343
1.55003    1.83499 -9.96369 7.70627 6.20621    -0.413693  -0.00146567
1.55003    1.87683  -10.108 7.89798 6.19479    -0.418043    0.0009127
1.55003    1.92546 -10.2233   8.059 6.18903    -0.423992   0.00371653
1.55003    1.98183 -10.3131 8.18124 6.18547    -0.432394    0.0065918
1.55003    2.04696 -10.3768 8.28496 6.18478    -0.444586   0.00987927
1.55003      2.122 -10.4145 8.32442  6.1841    -0.461156     0.012631
1.55003    2.20816 -10.4283 8.32821 6.18289    -0.484494    0.0164472
1.55003    2.30679  -10.414 8.27806 6.18251     -0.51734    0.0201773
1.55003    2.41931 -10.3644 8.28215  6.1924    -0.553661    0.0238289
1.55003    2.54726 -10.3138 8.23069 6.19576    -0.607572    0.0254364
1.55003     2.6923 -10.2908 8.21785 6.19028    -0.676742    0.0262145
1.55003     2.8562 -10.3348 8.24505 6.17251    -0.721301    0.0215764
1.55003    3.04085 -10.4846 8.11104 6.14083    -0.743965    0.0243092
1.64314   0.100587 -10.5783 8.33125 6.12226    -0.726113   -0.0223283
1.64314   0.284974 -10.4766 8.26027 6.09858    -0.760966   -0.0205199
1.64314   0.448648  -10.416 8.30938 6.11254    -0.710308   -0.0240489
1.64314   0.593498 -10.4039 8.32945 6.13049    -0.620414   -0.0221981
1.64314   0.721293 -10.4079 8.37396  6.1405    -0.550152   -0.0194331
1.64314   0.833685 -10.4069 8.39473 6.14838    -0.497583   -0.0150644
